
84	85	103	40	40
86	88	103	40	41
105	104	103	39	42
114	112	102	39	39
106	106	103	40	42
96	95	104	40	43
103	103	103	38	39
72	74	103	40	39
84	85	103	40	42
86	87	103	42	39
105	104	102	39	38
114	112	102	40	40
106	105	103	43	38
96	95	103	42	41
103	104	102	39	38
72	74	103	38	41
83	84	104	41	43
86	88	107	39	40
105	104	107	42	41
114	113	107	37	41
107	106	107	41	40
95	95	107	40	40
103	104	107	38	39
70	72	106	40	40
84	84	105	41	42
86	87	105	39	39
114	113	105	38	40
107	107	105	40	40
96	94	105	40	42
102	104	105	38	40
70	72	106	40	37
84	84	105	39	40
86	87	105	40	39
105	104	105	39	40
114	112	105	39	39
107	106	105	39	42
96	95	105	41	40
103	104	105	40	40
70	72	105	40	37
83	84	104	39	39
85	87	103	38	40
104	104	103	40	42
114	113	104	40	43
107	106	103	39	40
95	95	103	39	42
104	103	103	41	39
69	72	103	39	40
83	84	103	41	43
86	88	103	40	42
105	104	103	40	39
114	113	102	40	39
107	106	103	38	40
95	95	103	38	42
103	104	103	41	40
68	71	102	40	39
83	83	102	40	39
86	87	104	39	39
105	104	103	38	37
114	113	103	39	40
107	106	103	38	44
96	94	103	40	39
103	103	103	41	40
69	71	103	40	40
83	84	103	39	40
86	87	103	39	39
104	104	102	41	38
115	113	103	40	43
107	107	102	39	40
96	94	103	39	40
103	104	103	40	39
67	69	102	41	38
83	84	102	40	40
86	88	103	40	39
105	104	103	41	40
114	112	102	38	38
108	106	102	39	41
95	95	103	40	41
103	105	103	39	43
74	75	102	41	38
83	85	102	39	40
86	88	103	38	40
105	104	103	39	39
114	113	102	40	44
108	107	102	38	40
96	94	102	41	39
102	104	103	39	39
75	76	103	39	40
84	86	103	41	39
104	105	103	40	40
114	113	103	39	40
107	107	103	40	40
96	94	103	39	38
102	103	102	40	41
72	75	103	42	39
82	83	103	39	40
84	87	103	41	42
104	104	103	39	39
115	114	102	39	39
107	107	103	40	41
96	95	103	40	41
103	104	103	42	41
72	74	102	40	40
83	84	102	38	38
84	87	102	40	43
105	105	103	40	39
114	114	103	40	40
107	107	103	38	41
95	95	102	38	42
103	104	103	39	40
74	76	102	40	40
83	84	103	40	40
84	86	102	41	39
105	105	102	38	38
114	113	103	39	42
107	107	103	39	44
96	95	102	38	40
102	103	102	40	40
74	75	103	39	40
84	84	103	40	43
85	86	102	40	41
105	105	102	40	39
115	113	103	39	41
108	107	103	38	39
96	94	103	40	40
103	103	103	43	38
74	75	103	40	38
83	84	103	41	41
84	86	103	40	41
105	105	103	40	40
115	114	102	39	43
108	106	103	41	41
96	94	103	39	41
104	105	103	40	39
83	83	103	41	41
92	94	103	41	40
105	104	103	39	40
115	115	102	40	40
113	113	102	39	39
95	94	103	40	43
107	108	103	40	42
88	88	102	41	41
107	107	102	44	40
88	87	103	40	39
107	108	103	38	40
88	87	102	40	40
107	107	102	40	39
88	88	103	38	41
107	107	103	40	40
88	87	103	40	40
86	86	102	41	41
94	97	102	41	41
107	108	102	40	39
88	88	103	38	40
105	103	103	41	39
115	115	103	39	39
115	115	103	38	40
86	86	103	39	41
94	96	102	39	40
96	95	102	39	42
95	94	103	40	39
106	106	103	38	42
85	85	103	40	39
86	84	102	39	42
94	96	103	41	41
104	104	103	40	39
116	116	103	39	38
116	116	102	39	38
95	94	103	40	38
105	106	103	40	42
85	85	103	40	39
86	85	102	40	41
94	96	103	40	39
104	104	103	38	40
116	115	102	38	39
116	116	102	38	41
95	94	103	39	39
105	106	103	41	42
85	85	102	39	40
85	85	102	39	39
94	96	103	41	41
104	104	103	39	40
116	116	102	39	39
115	115	102	41	37
95	94	103	41	41
105	105	103	41	39
85	85	103	39	42
85	85	103	39	40
94	97	102	40	41
104	103	103	40	39
116	116	102	40	38
115	115	102	39	43
95	94	102	41	40
105	106	103	41	41
85	85	103	40	41
85	85	102	39	42
94	96	102	40	42
104	104	103	41	43
115	115	103	39	37
115	115	102	38	37
96	95	102	40	40
105	106	103	40	40
85	86	103	40	39
85	84	103	40	42
94	96	102	43	39
104	105	103	39	41
115	116	103	39	38
115	116	103	39	39
95	94	102	41	40
105	106	103	40	40
85	85	102	40	42
85	85	102	39	41
94	96	102	39	40
105	104	103	39	41
116	116	103	38	42
116	116	103	38	44
95	94	103	42	42
106	106	103	40	40
85	86	102	40	42
85	85	102	39	40
105	104	102	42	39
116	116	102	45	41
116	115	102	41	41
95	94	103	42	38
105	106	103	40	41
85	85	103	38	40
85	85	101	40	38
95	96	102	40	40
105	104	102	40	38
116	116	102	40	42
116	115	103	38	39
95	94	102	40	40
105	106	103	41	42
85	85	102	38	42
85	84	103	38	39
95	96	103	39	40
104	103	103	39	39
115	116	102	40	40
116	116	102	39	37
95	94	103	39	39
105	106	103	41	43
85	85	103	40	40
85	84	103	40	39
94	96	102	39	40
104	104	103	40	38
116	116	102	39	45
115	115	102	36	38
95	94	102	40	38
105	106	103	40	43
85	85	102	40	40
85	85	102	39	39
94	96	102	39	40
104	104	103	39	41
116	116	102	41	40
115	115	102	37	40
95	94	103	42	40
105	105	102	39	40
85	86	102	41	42
85	84	102	39	40
95	96	103	40	39
104	104	103	40	42
115	116	103	38	42
115	116	103	39	37
95	94	102	39	38
105	105	102	40	40
85	85	102	40	43
85	85	102	40	40
94	96	103	40	42
105	104	103	42	39
115	116	102	39	44
115	116	103	40	41
95	94	102	42	39
105	106	102	41	42
85	85	103	39	41
85	85	102	39	40
94	97	102	40	42
105	104	102	39	37
115	116	102	39	38
116	116	103	40	40
95	94	102	40	40
105	106	102	41	42
85	85	103	41	41
85	85	102	39	42
94	96	102	42	40
105	104	101	39	43
116	116	102	40	39
116	115	103	40	40
95	94	103	39	39
104	104	103	37	36
82	82	102	37	40
94	96	102	38	38
104	104	102	40	39
116	116	102	39	41
115	115	102	38	38
94	93	102	40	39
